===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/8 14:59:53 timestamp[1504875593:764628]
Orgine :Live
Saved Data :
===========================================
FACE,HR,TIME,HRV,VASO,STEP,HRVSEC,CONFID,STRESS,
===========================================
1,0,0.081,0,0,0,0,0,0,
1,0,0.098,0,0,0,0,0.0482003,0,
1,0,0.11,0,0,0,0,0.00909756,0,
1,0,0.122,0,0,0,0,0.0108897,0,
1,0,0.138,0,0,0,0,0.010979,0,
1,0,0.154,0,0,0,0,0.0123783,0,
1,0,0.171,0,0,0,0,0.0144413,0,
1,0,0.187,0,0,0,0,0.0144773,0,
1,0,0.204,0,0,0,0,0.016287,0,
1,0,0.22,0,0,0,0,0.0180966,0,
1,0,0.237,0,0,0,0,0.0199063,0,
1,0,0.254,0,0,0,0,0.021716,0,
1,0,0.27,0,0,0,0,0.0231047,0,
1,0,0.288,0,0,0,0,0.0248819,0,
1,0,0.307,0,0,0,0,0.0266592,0,
1,0,0.323,0,0,0,0,0.027856,0,
1,0,0.34,0,0,0,0,0.029597,0,
1,0,0.357,0,0,0,0,0.0313381,0,
1,0,0.374,0,0,0,0,0.0330791,0,
1,0,0.394,0,0,0,0,0.0344409,0,
1,0,0.409,0,0,0,0,0.036163,0,
1,0,0.424,0,0,0,0,0.037885,0,
1,0,0.441,0,0,0,0,0.039607,0,
1,0,0.46,0,0,0,0,0.0405594,0,
1,0,0.476,0,0,0,0,0.0422493,0,
1,0,0.494,0,0,0,0,0.0439393,0,
1,0,0.509,0,0,0,0,0.0456293,0,
1,0,0.526,0,0,0,0,0.046566,0,
1,0,0.542,0,0,0,0,0.048229,0,
1,0,0.559,0,0,0,0,0.0498921,0,
1,0,0.576,0,0,0,0,0.0535902,0,
1,0,0.595,0,0,0,0,0.106644,0,
1,0,0.617,0,0,0,0,0.123077,0,
1,0,0.634,0,0,0,0,0.192735,0,
1,0,0.651,0,0,0,0,0.237439,0,
1,0,0.667,0,0,0,0,0.198284,0,
1,0,0.685,0,0,0,0,0,0,
1,0,0.705,0,0,0,0,0,0,
1,0,0.726,0,0,0,0,0,0,
