===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/7 13:13:33 timestamp[1504782813:10347188]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
0;0;0.09;0;0;0;0;0;0;
0;0;0.303;0;0;0;0;0.0168374;0;
0;0;0.455;0;0;0;0;0.0101484;0;
0;0;0.582;0;0;0;0;0.013163;0;
0;0;0.736;0;0;0;0;0.0160041;0;
0;0;0.896;0;0;0;0;0.0187607;0;
0;0;1.142;0;0;0;0;0.0213783;0;
0;0;1.294;0;0;0;0;0.0240245;0;
0;0;1.458;0;0;0;0;0.0265456;0;
0;0;1.615;0;0;0;0;0.0290144;0;
0;0;1.773;0;0;0;0;0.0311807;0;
1;0;1.922;0;0;0;0;0.0119203;0;
1;0;1.932;0;0;0;0;0.0126391;0;
1;0;1.956;0;0;0;0;0.0134975;0;
1;0;1.989;0;0;0;0;0.0143572;0;
1;0;2.037;0;0;0;0;0.0151719;0;
1;0;2.069;0;0;0;0;0.0158223;0;
1;0;2.1;0;0;0;0;0.0164334;0;
1;0;2.132;0;0;0;0;0.0172182;0;
1;0;2.164;0;0;0;0;0.0180054;0;
1;0;2.197;0;0;0;0;0.0187828;0;
1;0;2.229;0;0;0;0;0.0195327;0;
1;0;2.261;0;0;0;0;0.020048;0;
1;0;2.293;0;0;0;0;0.020717;0;
1;0;2.326;0;0;0;0;0.0213759;0;
1;0;2.356;0;0;0;0;0.0220104;0;
1;0;2.389;0;0;0;0;0.0226493;0;
1;0;2.437;0;0;0;0;0.023326;0;
1;0;2.468;0;0;0;0;0.024019;0;
1;0;2.501;0;0;0;0;0.0246718;0;
1;0;2.532;0;0;0;0;0.0268698;0;
1;0;2.565;0;0;0;0;0.0314324;0;
1;0;2.597;0;0;0;0;0.0311978;0;
1;0;2.629;0;0;0;0;0.030723;0;
1;0;2.661;0;0;0;0;0.0305338;0;
0;0;2.693;0;0;0;0;0.0304599;0;
0;0;2.849;0;0;0;0;0.0304204;0;
0;0;3;0;0;0;0;0.0299604;0;
1;0;3.15;0;0;0;0;0.0294715;0;
1;0;3.159;0;0;0;0;0.0293536;0;
1;0;3.188;0;0;0;0;0.0793105;0;
1;0;3.22;0;0;0;0;0.0823408;0;
1;0;3.268;0;0;0;0;0.082725;0;
1;0;3.3;0;0;0;0;0.083136;0;
1;0;3.333;0;0;0;0;0.0834995;0;
1;0;3.365;0;0;0;0;0.0866605;0;
1;0;3.397;0;0;0;0;0.0909741;0;
1;0;3.428;0;0;0;0;0.0917921;0;
1;0;3.46;0;0;0;0;0.0921043;0;
1;0;3.492;0;0;0;0;0.0922041;0;
1;0;3.525;0;0;0;0;0.0925191;0;
1;0;3.557;0;0;0;0;0.0968017;0;
1;0;3.589;0;0;0;0;0.0987967;0;
1;0;3.62;0;0;0;0;0.101247;0;
1;0;3.652;0;0;0;0;0.103546;0;
