===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/8 15:45:42 timestamp[1504878342:3513925]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
1;0;0.082;0;0;0;0;0;0;
1;0;0.11;0;0;0;0;0.00125993;0;
1;0;0.173;0;0;0;0;0.00129069;0;
1;0;0.237;0;0;0;0;0.00170603;0;
1;0;0.301;0;0;0;0;0.00210201;0;
1;0;0.381;0;0;0;0;0.00245856;0;
1;0;0.445;0;0;0;0;0.0028562;0;
1;0;0.509;0;0;0;0;0.00319042;0;
1;0;0.573;0;0;0;0;0.00356852;0;
1;0;0.636;0;0;0;0;0.00395511;0;
1;0;0.701;0;0;0;0;0.00433321;0;
1;0;0.781;0;0;0;0;0.00471221;0;
1;0;0.845;0;0;0;0;0.00508121;0;
1;0;0.909;0;0;0;0;0.00544469;0;
1;0;0.973;0;0;0;0;0.00578944;0;
1;0;1.037;0;0;0;0;0.006126;0;
1;0;1.117;0;0;0;0;0.0064775;0;
1;0;1.18;0;0;0;0;0.00683865;0;
1;0;1.245;0;0;0;0;0.00715245;0;
1;0;1.309;0;0;0;0;0.00750863;0;
1;0;1.373;0;0;0;0;0.00783546;0;
1;0;1.437;0;0;0;0;0.00815966;0;
1;0;1.516;0;0;0;0;0.00849471;0;
1;0;1.581;0;0;0;0;0.00882792;0;
1;0;1.645;0;0;0;0;0.00916829;0;
1;0;1.709;0;0;0;0;0.00950545;0;
1;0;1.773;0;0;0;0;0.00983288;0;
1;0;1.837;0;0;0;0;0.0101655;0;
1;0;1.916;0;0;0;0;0.0104949;0;
1;0;1.981;0;0;0;0;0.0108278;0;
1;0;2.045;0;0;0;0;0.0251804;0;
1;0;2.109;0;0;0;0;0.0643738;0;
1;0;2.173;0;0;0;0;0.0660992;0;
1;0;2.237;0;0;0;0;0.0703997;0;
1;0;2.317;0;0;0;0;0.0808954;0;
1;0;2.381;0;0;0;0;0.0817362;0;
1;0;2.445;0;0;0;0;0.0932618;0;
1;0;2.509;0;0;0;0;0.0905071;0;
1;0;2.573;0;0;0;0;0.0902741;0;
