===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/8/31 10:41:7 timestamp[1504168867:12305]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
0;0;0.416;0;0;0;0;0;0;
0;0;0.57;0;0;0;0;0;0;
0;0;0.747;0;0;0;0;0;0;
0;0;0.89;0;0;0;0;0;0;
0;0;1.067;0;0;0;0;0;0;
0;0;1.242;0;0;0;0;0;0;
0;0;1.439;0;0;0;0;0;0;
0;0;1.591;0;0;0;0;0;0;
0;0;1.744;0;0;0;0;0;0;
0;0;1.912;0;0;0;0;0;0;
0;0;2.066;0;0;0;0;0;0;
0;0;2.233;0;0;0;0;0;0;
0;0;2.389;0;0;0;0;0;0;
0;0;2.532;0;0;0;0;0;0;
0;0;2.692;0;0;0;0;0;0;
0;0;2.832;0;0;0;0;0;0;
0;0;2.986;0;0;0;0;0;0;
0;0;3.131;0;0;0;0;0;0;
0;0;3.28;0;0;0;0;0.152748;0;
0;0;3.446;0;0;0;0;0.142656;0;
0;0;3.59;0;0;0;0;0.143803;0;
0;0;3.751;0;0;0;0;0.144683;0;
0;0;3.902;0;0;0;0;0.142794;0;
0;0;4.055;0;0;0;0;0.144688;0;
0;0;4.207;0;0;0;0;0.14664;0;
0;0;4.382;0;0;0;0;0.150093;0;
0;0;4.536;0;0;0;0;0.153374;0;
0;0;4.694;0;0;0;0;0.156194;0;
0;0;4.835;0;0;0;0;0.155482;0;
0;0;4.987;0;0;0;0;0.152192;0;
0;0;5.15;0;0;0;0;0.152163;0;
0;0;5.333;0;0;0;0;0.15113;0;
0;0;5.523;0;0;0;0;0.145777;0;
0;0;5.677;0;0;0;0;0.143581;0;
0;0;5.84;0;0;0;0;0.138596;0;
0;0;5.977;0;0;0;0;0.131393;0;
0;69;6.115;0;6.1446;0;0;0.115425;0;
0;69;6.264;0;6.1446;0;0;0.112001;0;
0;69;6.414;0;6.1446;0;0;0.108551;0;
0;69;6.571;0;6.1446;0;0;0.105614;0;
0;69;6.752;0;6.1446;0;0;0.102923;0;
0;69;6.899;0;6.1446;0;0;0.100086;0;
0;69;7.072;0;6.1446;0;0;0.0988709;0;
1;69;7.231;0;6.1446;0;0;0.00441944;0;
1;69;7.247;0;6.1446;0;0;0.00441362;0;
1;63;7.279;0.113711;9.01859;0;0.0931757;0.00440774;9.2617;
1;63;7.312;0.113711;9.01859;0;0.0931757;0.00440779;9.2617;
1;63;7.345;0.113711;9.01859;0;0.0931757;0.00442959;9.2617;
1;63;7.394;0.113711;9.01859;0;0.0931757;0.00443722;9.2617;
1;63;7.423;0.113711;9.01859;0;0.0931757;0.00443882;9.2617;
1;63;7.455;0.113711;9.01859;0;0.0931757;0.00444125;9.2617;
0;63;7.487;0.113711;9.01859;0;0.0931757;0.00444574;9.2617;
1;63;7.64;0.113711;9.01859;0;0.0931757;0.00444745;9.2617;
0;63;7.652;0.113711;9.01859;0;0.0931757;0.00444826;9.2617;
0;63;7.777;0.113711;9.01859;0;0.0931757;0.0044488;9.2617;
0;63;7.926;0.113711;9.01859;0;0.0931757;0.00444884;9.2617;
1;63;8.071;0.113711;9.01859;0;0.0931757;0.0044483;9.2617;
1;63;8.083;0.113711;9.01859;0;0.0931757;0.0044505;9.2617;
1;63;8.112;0.113711;9.01859;0;0.0931757;0.00445619;9.2617;
1;63;8.144;0.113711;9.01859;0;0.0931757;0.0044581;9.2617;
1;63;8.176;0.113711;9.01859;0;0.0931757;0.0044616;9.2617;
1;58;8.223;0.19276;8.95631;0;0.177704;0.00446694;5.03162;
1;58;8.255;0.19276;8.95631;0;0.177704;0.00446927;5.03162;
1;58;8.288;0.19276;8.95631;0;0.177704;0.00447453;5.03162;
1;58;8.319;0.19276;8.95631;0;0.177704;0.00448267;5.03162;
1;58;8.351;0.19276;8.95631;0;0.177704;0.00450462;5.03162;
1;58;8.383;0.19276;8.95631;0;0.177704;0.00451061;5.03162;
1;58;8.415;0.19276;8.95631;0;0.177704;0.00451696;5.03162;
1;58;8.447;0.19276;8.95631;0;0.177704;0.00452246;5.03162;
1;58;8.479;0.19276;8.95631;0;0.177704;0.00452747;5.03162;
1;58;8.512;0.19276;8.95631;0;0.177704;0.00453333;5.03162;
1;58;8.544;0.19276;8.95631;0;0.177704;0.00453608;5.03162;
1;58;8.576;0.19276;8.95631;0;0.177704;0.346709;5.03162;
1;58;8.607;0.19276;8.95631;0;0.177704;0.342148;5.03162;
1;58;8.655;0.19276;8.95631;0;0.177704;0.34826;5.03162;
1;58;8.687;0.19276;8.95631;0;0.177704;0.346344;5.03162;
1;58;8.719;0.19276;8.95631;0;0.177704;0.337097;5.03162;
1;58;8.751;0.19276;8.95631;0;0.177704;0.330835;5.03162;
1;58;8.783;0.19276;8.95631;0;0.177704;0.330835;5.03162;
1;58;8.815;0.19276;8.95631;0;0.177704;0.326494;5.03162;
1;58;8.847;0.19276;8.95631;0;0.177704;0.339342;5.03162;
1;58;8.88;0.19276;8.95631;0;0.177704;0.335972;5.03162;
1;58;8.912;0.19276;8.95631;0;0.177704;0.331729;5.03162;
1;58;8.944;0.19276;8.95631;0;0.177704;0.327386;5.03162;
1;58;8.976;0.19276;8.95631;0;0.177704;0.322875;5.03162;
1;58;9.007;0.19276;8.95631;0;0.177704;0.322875;5.03162;
1;58;9.055;0.19276;8.95631;0;0.177704;0.33179;5.03162;
1;58;9.089;0.19276;8.95631;0;0.177704;0.325242;5.03162;
1;58;9.119;0.19276;8.95631;0;0.177704;0.319888;5.03162;
1;58;9.151;0.19276;8.95631;0;0.177704;0.319888;5.03162;
1;58;9.183;0.19276;8.95631;0;0.177704;0.334258;5.03162;
0;58;9.215;0.19276;8.95631;0;0.177704;0.324498;5.03162;
1;58;9.384;0.19276;8.95631;0;0.177704;0.324498;5.03162;
1;58;9.402;0.19276;8.95631;0;0.177704;0.324498;5.03162;
1;58;9.414;0.19276;8.95631;0;0.177704;0.324498;5.03162;
1;58;9.439;0.19276;8.95631;0;0.177704;0.319239;5.03162;
1;50;9.487;0.173626;1.76252;0;0.171871;0.31321;4.80868;
1;50;9.519;0.173626;1.76252;0;0.171871;0.307404;4.80868;
1;50;9.551;0.173626;1.76252;0;0.171871;0.303624;4.80868;
