===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/11 13:32:29 timestamp[1505129549:56902]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
1;0;0.157;0;0;0;0;0;0;
1;0;0.17;0;0;0;0;0.00317049;0;
1;0;0.185;0;0;0;0;0.00432278;0;
1;0;0.201;0;0;0;0;0.00535959;0;
1;0;0.222;0;0;0;0;0.00645322;0;
1;0;0.236;0;0;0;0;0.00774387;0;
1;0;0.252;0;0;0;0;0.00894449;0;
1;0;0.274;0;0;0;0;0.0102223;0;
1;0;0.288;0;0;0;0;0.0113788;0;
1;0;0.306;0;0;0;0;0.0126431;0;
1;0;0.326;0;0;0;0;0.0139074;0;
1;0;0.342;0;0;0;0;0.0150061;0;
1;0;0.358;0;0;0;0;0.0162566;0;
1;0;0.374;0;0;0;0;0.0173391;0;
1;0;0.392;0;0;0;0;0.0185776;0;
1;0;0.408;0;0;0;0;0.0196521;0;
1;0;0.429;0;0;0;0;0.0208804;0;
1;0;0.443;0;0;0;0;0.0218272;0;
1;0;0.459;0;0;0;0;0.0229071;0;
1;0;0.477;0;0;0;0;0.0241127;0;
1;0;0.493;0;0;0;0;0.0251868;0;
1;0;0.51;0;0;0;0;0.0263861;0;
1;0;0.529;0;0;0;0;0.0275855;0;
1;0;0.547;0;0;0;0;0.0286464;0;
1;0;0.562;0;0;0;0;0.029654;0;
1;0;0.579;0;0;0;0;0.0308401;0;
1;0;0.596;0;0;0;0;0.0318154;0;
1;0;0.613;0;0;0;0;0.0329937;0;
1;0;0.633;0;0;0;0;0.0339725;0;
1;0;0.647;0;0;0;0;0.0351439;0;
1;0;0.663;0;0;0;0;0.131022;0;
1;0;0.68;0;0;0;0;0.180954;0;
1;0;0.696;0;0;0;0;0;0;
1;0;0.714;0;0;0;0;0;0;
1;0;0.734;0;0;0;0;0;0;
1;0;0.749;0;0;0;0;0;0;
1;0;0.77;0;0;0;0;0;0;
1;0;0.785;0;0;0;0;0;0;
1;0;0.801;0;0;0;0;0;0;
1;0;0.821;0;0;0;0;0;0;
1;0;0.84;0;0;0;0;0;0;
1;0;0.855;0;0;0;0;0;0;
1;0;0.869;0;0;0;0;0;0;
1;0;0.886;0;0;0;0;0;0;
1;0;0.904;0;0;0;0;0;0;
1;0;0.921;0;0;0;0;0;0;
1;0;0.937;0;0;0;0;0;0;
1;0;0.955;0;0;0;0;0;0;
1;0;0.972;0;0;0;0;0.176748;0;
1;0;0.987;0;0;0;0;0.181379;0;
1;0;1.002;0;0;0;0;0.171356;0;
1;0;1.018;0;0;0;0;0.171356;0;
1;0;1.036;0;0;0;0;0.164179;0;
1;0;1.052;0;0;0;0;0;0;
1;0;1.069;0;0;0;0;0;0;
1;0;1.086;0;0;0;0;0;0;
1;0;1.102;0;0;0;0;0;0;
1;0;1.119;0;0;0;0;0;0;
1;0;1.141;0;0;0;0;0;0;
1;0;1.154;0;0;0;0;0;0;
1;0;1.172;0;0;0;0;0;0;
1;0;1.19;0;0;0;0;0;0;
1;0;1.206;0;0;0;0;0;0;
1;0;1.239;0;0;0;0;0;0;
1;0;1.256;0;0;0;0;0;0;
1;0;1.267;0;0;0;0;0;0;
1;0;1.282;0;0;0;0;0;0;
1;0;1.301;0;0;0;0;0;0;
1;0;1.321;0;0;0;0;0;0;
1;0;1.348;0;0;0;0;0;0;
1;0;1.365;0;0;0;0;0;0;
1;0;1.388;0;0;0;0;0;0;
1;0;1.403;0;0;0;0;0;0;
1;0;1.423;0;0;0;0;0;0;
1;0;1.446;0;0;0;0;0;0;
1;0;1.459;0;0;0;0;0;0;
1;0;1.487;0;0;0;0;0;0;
1;0;1.502;0;0;0;0;0;0;
1;0;1.517;0;0;0;0;0;0;
1;0;1.546;0;0;0;0;0;0;
1;0;1.566;0;0;0;0;0;0;
1;0;1.582;0;0;0;0;0;0;
1;0;1.596;0;0;0;0;0;0;
1;0;1.61;0;0;0;0;0;0;
1;0;1.629;0;0;0;0;0;0;
1;0;1.653;0;0;0;0;0;0;
1;0;1.665;0;0;0;0;0;0;
1;0;1.679;0;0;0;0;0;0;
1;0;1.697;0;0;0;0;0;0;
1;0;1.713;0;0;0;0;0;0;
1;0;1.729;0;0;0;0;0;0;
1;0;1.75;0;0;0;0;0;0;
1;0;1.766;0;0;0;0;0;0;
1;0;1.783;0;0;0;0;0;0;
1;0;1.799;0;0;0;0;0;0;
1;0;1.817;0;0;0;0;0;0;
1;0;1.835;0;0;0;0;0;0;
1;0;1.853;0;0;0;0;0;0;
1;0;1.868;0;0;0;0;0;0;
1;0;1.885;0;0;0;0;0;0;
1;0;1.901;0;0;0;0;0;0;
1;0;1.922;0;0;0;0;0;0;
1;0;1.944;0;0;0;0;0;0;
1;0;1.96;0;0;0;0;0;0;
1;0;1.977;0;0;0;0;0;0;
1;0;1.994;0;0;0;0;0;0;
1;0;2.012;0;0;0;0;0;0;
1;0;2.03;0;0;0;0;0;0;
1;0;2.048;0;0;0;0;0;0;
1;0;2.063;0;0;0;0;0;0;
1;0;2.08;0;0;0;0;0;0;
1;0;2.097;0;0;0;0;0;0;
1;0;2.115;0;0;0;0;0;0;
1;0;2.13;0;0;0;0;0;0;
1;0;2.15;0;0;0;0;0;0;
1;0;2.166;0;0;0;0;0;0;
1;0;2.186;0;0;0;0;0;0;
1;0;2.2;0;0;0;0;0;0;
1;0;2.217;0;0;0;0;0;0;
1;0;2.234;0;0;0;0;0;0;
1;0;2.252;0;0;0;0;0;0;
1;0;2.267;0;0;0;0;0;0;
1;0;2.283;0;0;0;0;0;0;
1;0;2.301;0;0;0;0;0;0;
1;0;2.317;0;0;0;0;0;0;
1;0;2.334;0;0;0;0;0;0;
1;0;2.355;0;0;0;0;0;0;
1;0;2.367;0;0;0;0;0;0;
1;0;2.385;0;0;0;0;0;0;
1;0;2.401;0;0;0;0;0;0;
1;0;2.418;0;0;0;0;0;0;
1;0;2.437;0;0;0;0;0;0;
1;0;2.452;0;0;0;0;0;0;
1;0;2.469;0;0;0;0;0;0;
1;0;2.487;0;0;0;0;0;0;
1;0;2.502;0;0;0;0;0;0;
1;0;2.519;0;0;0;0;0;0;
1;0;2.535;0;0;0;0;0;0;
1;0;2.561;0;0;0;0;0;0;
1;0;2.577;0;0;0;0;0;0;
1;0;2.594;0;0;0;0;0;0;
1;0;2.611;0;0;0;0;0;0;
1;0;2.628;0;0;0;0;0;0;
1;0;2.649;0;0;0;0;0;0;
