===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/28 16:32:28 timestamp[1506609148:32586]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
1;0;0.085;0;0;0;0;0;0;
1;0;0.107;0;0;0;0;0.00810511;0;
1;0;0.155;0;0;0;0;0.00722038;0;
1;0;0.187;0;0;0;0;0.00818105;0;
1;0;0.219;0;0;0;0;0.0101588;0;
1;0;0.251;0;0;0;0;0.0120955;0;
1;0;0.283;0;0;0;0;0.0126406;0;
1;0;0.318;0;0;0;0;0.0140337;0;
1;0;0.347;0;0;0;0;0.0152254;0;
1;0;0.379;0;0;0;0;0.0158239;0;
1;0;0.411;0;0;0;0;0.0166346;0;
1;0;0.443;0;0;0;0;0.017774;0;
1;0;0.475;0;0;0;0;0.0187947;0;
1;0;0.507;0;0;0;0;0.0194481;0;
1;0;0.555;0;0;0;0;0.0204637;0;
1;0;0.587;0;0;0;0;0.0214388;0;
1;0;0.619;0;0;0;0;0.0225645;0;
1;0;0.651;0;0;0;0;0.0234635;0;
1;0;0.683;0;0;0;0;0.0242235;0;
1;0;0.715;0;0;0;0;0.0251534;0;
1;0;0.747;0;0;0;0;0.0261024;0;
1;0;0.779;0;0;0;0;0.0269469;0;
1;0;0.811;0;0;0;0;0.0275247;0;
1;0;0.843;0;0;0;0;0.0284307;0;
1;0;0.875;0;0;0;0;0.0292378;0;
1;0;0.907;0;0;0;0;0.0298136;0;
1;0;0.955;0;0;0;0;0.0303249;0;
1;0;0.987;0;0;0;0;0.03113;0;
1;0;1.019;0;0;0;0;0.0316103;0;
1;0;1.051;0;0;0;0;0.0318048;0;
1;0;1.083;0;0;0;0;0.0409376;0;
1;0;1.115;0;0;0;0;0.0516385;0;
1;0;1.147;0;0;0;0;0.057916;0;
1;0;1.179;0;0;0;0;0.057268;0;
1;0;1.211;0;0;0;0;0.0557335;0;
1;0;1.243;0;0;0;0;0.0608118;0;
1;0;1.275;0;0;0;0;0.0619867;0;
1;0;1.307;0;0;0;0;0.0638707;0;
1;0;1.339;0;0;0;0;0.0650715;0;
1;0;1.387;0;0;0;0;0.0610223;0;
1;0;1.419;0;0;0;0;0.0604298;0;
1;0;1.451;0;0;0;0;0.0612261;0;
1;0;1.483;0;0;0;0;0.0634354;0;
1;0;1.515;0;0;0;0;0.0618017;0;
1;0;1.547;0;0;0;0;0.0607577;0;
1;0;1.579;0;0;0;0;0.0599819;0;
1;0;1.611;0;0;0;0;0.060868;0;
1;0;1.643;0;0;0;0;0.0625071;0;
1;0;1.675;0;0;0;0;0.0631773;0;
1;0;1.707;0;0;0;0;0.0635361;0;
1;0;1.74;0;0;0;0;0.064313;0;
1;0;1.787;0;0;0;0;0.0664567;0;
1;0;1.819;0;0;0;0;0.0671577;0;
1;0;1.851;0;0;0;0;0.0679723;0;
1;0;1.883;0;0;0;0;0.0690326;0;
1;0;1.915;0;0;0;0;0.0688227;0;
1;0;1.947;0;0;0;0;0.0658647;0;
1;0;1.98;0;0;0;0;0.0634324;0;
1;0;2.011;0;0;0;0;0.0655082;0;
1;0;2.043;0;0;0;0;0.0694123;0;
1;0;2.075;0;0;0;0;0.0691804;0;
1;0;2.109;0;0;0;0;0.0681025;0;
1;0;2.139;0;0;0;0;0.0677262;0;
1;0;2.171;0;0;0;0;0.0694337;0;
1;0;2.219;0;0;0;0;0.0707357;0;
1;0;2.251;0;0;0;0;0.0711579;0;
1;0;2.283;0;0;0;0;0.0714869;0;
1;0;2.315;0;0;0;0;0.0643173;0;
1;0;2.347;0;0;0;0;0.0727663;0;
1;0;2.379;0;0;0;0;0.0746904;0;
1;0;2.411;0;0;0;0;0.0731033;0;
1;0;2.443;0;0;0;0;0.0696466;0;
1;0;2.475;0;0;0;0;0.0667952;0;
1;0;2.507;0;0;0;0;0.0634522;0;
1;0;2.539;0;0;0;0;0.0582125;0;
1;0;2.571;0;0;0;0;0.0535555;0;
1;0;2.619;0;0;0;0;0.0531593;0;
1;0;2.651;0;0;0;0;0.0527427;0;
1;0;2.683;0;0;0;0;0.0521019;0;
1;0;2.716;0;0;0;0;0.0507894;0;
1;0;2.747;0;0;0;0;0.0483976;0;
1;0;2.779;0;0;0;0;0.0469913;0;
1;0;2.811;0;0;0;0;0.046123;0;
1;0;2.843;0;0;0;0;0.0463894;0;
1;0;2.875;0;0;0;0;0.0464635;0;
1;0;2.907;0;0;0;0;0.0467275;0;
1;0;2.939;0;0;0;0;0.0485309;0;
1;0;2.971;0;0;0;0;0.0475691;0;
1;0;3.019;0;0;0;0;0.0477757;0;
1;0;3.051;0;0;0;0;0.0482437;0;
1;0;3.083;0;0;0;0;0.0488696;0;
1;0;3.115;0;0;0;0;0.049338;0;
1;0;3.147;0;0;0;0;0.0495837;0;
1;0;3.179;0;0;0;0;0.0495625;0;
1;0;3.211;0;0;0;0;0.0494882;0;
1;0;3.243;0;0;0;0;0.049373;0;
1;0;3.275;0;0;0;0;0.0561428;0;
1;0;3.307;0;0;0;0;0.0561286;0;
1;0;3.339;0;0;0;0;0.0563065;0;
1;0;3.371;0;0;0;0;0.0576645;0;
1;0;3.403;0;0;0;0;0.0605677;0;
1;0;3.451;0;0;0;0;0.0654913;0;
1;0;3.483;0;0;0;0;0.0717901;0;
1;0;3.515;0;0;0;0;0.0819419;0;
1;0;3.547;0;0;0;0;0.0941104;0;
1;0;3.579;0;0;0;0;0.0950484;0;
1;0;3.611;0;0;0;0;0.0965606;0;
1;0;3.643;0;0;0;0;0.0994225;0;
1;0;3.675;0;0;0;0;0.105181;0;
1;0;3.707;0;0;0;0;0.117169;0;
1;0;3.739;0;0;0;0;0.12603;0;
1;0;3.771;0;0;0;0;0.132699;0;
1;0;3.803;0;0;0;0;0.132402;0;
1;0;3.851;0;0;0;0;0.139854;0;
1;0;3.883;0;0;0;0;0;0;
1;0;3.915;0;0;0;0;0;0;
1;0;3.947;0;0;0;0;0;0;
1;0;3.979;0;0;0;0;0;0;
1;0;4.011;0;0;0;0;0;0;
1;0;4.043;0;0;0;0;0.173894;0;
1;0;4.075;0;0;0;0;0.165142;0;
1;0;4.107;0;0;0;0;0.151484;0;
1;0;4.139;0;0;0;0;0.140866;0;
1;0;4.171;0;0;0;0;0.12896;0;
1;0;4.203;0;0;0;0;0.108405;0;
1;0;4.235;0;0;0;0;0.093893;0;
1;0;4.283;0;0;0;0;0.0788364;0;
1;0;4.315;0;0;0;0;0.0752313;0;
1;0;4.347;0;0;0;0;0.0734031;0;
1;0;4.379;0;0;0;0;0.0727821;0;
1;0;4.411;0;0;0;0;0.0690004;0;
1;0;4.443;0;0;0;0;0.0631974;0;
1;0;4.475;0;0;0;0;0.0563704;0;
1;0;4.507;0;0;0;0;0.0500206;0;
1;0;4.539;0;0;0;0;0.0482755;0;
1;0;4.571;0;0;0;0;0.0467372;0;
1;0;4.603;0;0;0;0;0.0459562;0;
