===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/7 11:16:18 timestamp[1504775778:3311763]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
1;0;0.316;0;0;0;0;0;0;
1;0;0.347;0;0;0;0;0.13647;0;
1;0;0.379;0;0;0;0;0.136441;0;
1;0;0.411;0;0;0;0;0.0132599;0;
1;0;0.443;0;0;0;0;0.0159928;0;
1;0;0.491;0;0;0;0;0.0185729;0;
1;0;0.523;0;0;0;0;0.0213238;0;
1;0;0.556;0;0;0;0;0.0237186;0;
1;0;0.597;0;0;0;0;0.0260041;0;
1;0;0.619;0;0;0;0;0.028333;0;
1;0;0.651;0;0;0;0;0.0305531;0;
1;0;0.683;0;0;0;0;0.032697;0;
1;0;0.715;0;0;0;0;0.0346985;0;
1;0;0.747;0;0;0;0;0.0367109;0;
1;0;0.779;0;0;0;0;0.0386915;0;
1;0;0.811;0;0;0;0;0.0406202;0;
1;0;0.843;0;0;0;0;0.0423697;0;
1;0;0.875;0;0;0;0;0.0435101;0;
1;0;0.923;0;0;0;0;0.0452019;0;
1;0;0.955;0;0;0;0;0.0468681;0;
1;0;0.987;0;0;0;0;0.0363884;0;
1;0;1.019;0;0;0;0;0.0377306;0;
1;0;1.051;0;0;0;0;0.038848;0;
1;0;1.083;0;0;0;0;0.0327099;0;
1;0;1.115;0;0;0;0;0.0339;0;
1;0;1.147;0;0;0;0;0.0349672;0;
1;0;1.179;0;0;0;0;0.0360779;0;
1;0;1.212;0;0;0;0;0.024665;0;
1;0;1.243;0;0;0;0;0.0254744;0;
1;0;1.275;0;0;0;0;0.0262823;0;
1;0;1.323;0;0;0;0;0.0250221;0;
1;0;1.355;0;0;0;0;0.0251127;0;
1;0;1.387;0;0;0;0;0.0326795;0;
1;0;1.419;0;0;0;0;0.0329631;0;
1;0;1.451;0;0;0;0;0.0331508;0;
1;0;1.483;0;0;0;0;0.0331634;0;
1;0;1.515;0;0;0;0;0.0333895;0;
1;0;1.547;0;0;0;0;0.0336097;0;
1;0;1.579;0;0;0;0;0.033751;0;
1;0;1.611;0;0;0;0;0.0339038;0;
1;0;1.643;0;0;0;0;0.0340578;0;
1;0;1.675;0;0;0;0;0.0342397;0;
1;0;1.707;0;0;0;0;0.0342874;0;
1;0;1.755;0;0;0;0;0.0343439;0;
1;0;1.787;0;0;0;0;0.0344699;0;
1;0;1.819;0;0;0;0;0.0346403;0;
1;0;1.851;0;0;0;0;0.0350209;0;
1;0;1.883;0;0;0;0;0.0350855;0;
1;0;1.915;0;0;0;0;0.0351171;0;
1;0;1.947;0;0;0;0;0.0424301;0;
1;0;1.979;0;0;0;0;0.0425985;0;
1;0;2.011;0;0;0;0;0.042957;0;
1;0;2.043;0;0;0;0;0.0535995;0;
1;0;2.075;0;0;0;0;0.0536725;0;
1;0;2.107;0;0;0;0;0.0539715;0;
1;0;2.155;0;0;0;0;0.0541548;0;
1;0;2.187;0;0;0;0;0.176356;0;
1;0;2.219;0;0;0;0;0.176568;0;
1;0;2.251;0;0;0;0;0.176692;0;
1;0;2.283;0;0;0;0;0;0;
1;0;2.315;0;0;0;0;0;0;
1;0;2.347;0;0;0;0;0;0;
1;0;2.379;0;0;0;0;0;0;
1;0;2.411;0;0;0;0;0;0;
1;0;2.443;0;0;0;0;0;0;
1;0;2.475;0;0;0;0;0;0;
1;0;2.507;0;0;0;0;0;0;
1;0;2.539;0;0;0;0;0;0;
1;0;2.587;0;0;0;0;0;0;
1;0;2.619;0;0;0;0;0;0;
1;0;2.651;0;0;0;0;0;0;
1;0;2.683;0;0;0;0;0;0;
1;0;2.715;0;0;0;0;0;0;
1;0;2.747;0;0;0;0;0;0;
1;0;2.779;0;0;0;0;0;0;
1;0;2.811;0;0;0;0;0;0;
1;0;2.843;0;0;0;0;0;0;
1;0;2.875;0;0;0;0;0;0;
1;0;2.907;0;0;0;0;0;0;
1;0;2.939;0;0;0;0;0;0;
1;0;2.987;0;0;0;0;0;0;
1;0;3.019;0;0;0;0;0;0;
1;0;3.051;0;0;0;0;0;0;
1;0;3.083;0;0;0;0;0;0;
1;0;3.115;0;0;0;0;0;0;
1;0;3.147;0;0;0;0;0;0;
1;0;3.18;0;0;0;0;0;0;
1;0;3.211;0;0;0;0;0;0;
1;0;3.243;0;0;0;0;0;0;
1;0;3.275;0;0;0;0;0;0;
1;0;3.307;0;0;0;0;0;0;
1;0;3.339;0;0;0;0;0;0;
1;0;3.387;0;0;0;0;0;0;
1;0;3.419;0;0;0;0;0;0;
1;0;3.451;0;0;0;0;0;0;
1;0;3.483;0;0;0;0;0;0;
1;0;3.515;0;0;0;0;0;0;
1;0;3.547;0;0;0;0;0;0;
1;0;3.579;0;0;0;0;0;0;
1;0;3.611;0;0;0;0;0.108318;0;
1;0;3.643;0;0;0;0;0.0503102;0;
1;0;3.675;0;0;0;0;0.0325945;0;
1;0;3.707;0;0;0;0;0.0283694;0;
1;0;3.739;0;0;0;0;0.0274393;0;
1;0;3.771;0;0;0;0;0.0176531;0;
